"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "SQL", "JSON", "Markdown", "YAML", "HTML", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/kenny/Desktop/Haleys-Hope/src/components/ui/button.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"/Users/kenny/Desktop/Haleys-Hope/src/components/ui/input.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/kenny/Desktop/Haleys-Hope/src/components/ui/label.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/kenny/Desktop/Haleys-Hope/src/components/ui/sheet.jsx", "JavaScript JSX", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 110
"/Users/kenny/Desktop/Haleys-Hope/src/components/ui/tabs.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/Users/kenny/Desktop/Haleys-Hope/src/hooks/useReduxStore.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 21
"/Users/kenny/Desktop/Haleys-Hope/src/hooks/useScript.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 23
"/Users/kenny/Desktop/Haleys-Hope/src/index.css", "CSS", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 9, 33, 165
"/Users/kenny/Desktop/Haleys-Hope/src/index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/kenny/Desktop/Haleys-Hope/src/lib/CustomSnackbar.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/kenny/Desktop/Haleys-Hope/src/lib/GetCompositeScoreDescription.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/kenny/Desktop/Haleys-Hope/src/lib/GetScaledScoreDescription.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/kenny/Desktop/Haleys-Hope/src/lib/utils.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 20, 108
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/_root.reducer.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 38
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/allUsers.reducer.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/assessment.reducer.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/coach.reducer.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 60
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/comments.reducer.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/elementaryWist.reducer.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 61
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/errors.reducer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 42
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/gort.reducer.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 49
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/ktea.reducer.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 48
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/olderCtopp.reducer.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 47
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/secondaryWist.reducer.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 59
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/student.reducer.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/user.reducer.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 36
"/Users/kenny/Desktop/Haleys-Hope/src/redux/reducers/youngerCtopp.reducer.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 48
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/_root.saga.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 41
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/assessment.saga.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 40
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/coach.saga.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 79
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/comments.saga.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/elementaryWist.saga.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 87
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/gort.saga.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 79
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/ktea.saga.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 87
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/login.saga.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 67
